2020-01-21 02:08:03.450  INFO 16260 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$7474b600] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-21 02:08:04.386  INFO 16260 --- [main] c.h.s.Config_3344_StartSpringCloudApp    : The following profiles are active: native
2020-01-21 02:08:06.079  WARN 16260 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-01-21 02:08:06.532  INFO 16260 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=eab34a48-07d5-392c-af96-fe2f61246ca1
2020-01-21 02:08:06.698  INFO 16260 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$7474b600] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-21 02:08:07.233  INFO 16260 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 3344 (http)
2020-01-21 02:08:07.283  INFO 16260 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-01-21 02:08:07.286  INFO 16260 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.16]
2020-01-21 02:08:07.297  INFO 16260 --- [main] o.a.catalina.core.AprLifecycleListener   : An older version [1.2.14] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.21]
2020-01-21 02:08:07.297  INFO 16260 --- [main] o.a.catalina.core.AprLifecycleListener   : Loaded APR based Apache Tomcat Native library [1.2.14] using APR version [1.6.2].
2020-01-21 02:08:07.298  INFO 16260 --- [main] o.a.catalina.core.AprLifecycleListener   : APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-01-21 02:08:07.298  INFO 16260 --- [main] o.a.catalina.core.AprLifecycleListener   : APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-01-21 02:08:08.488  INFO 16260 --- [main] o.a.catalina.core.AprLifecycleListener   : OpenSSL successfully initialized [OpenSSL 1.0.2l  25 May 2017]
2020-01-21 02:08:08.731  INFO 16260 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-01-21 02:08:08.731  INFO 16260 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 4326 ms
2020-01-21 02:08:08.980  WARN 16260 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-01-21 02:08:08.980  INFO 16260 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-01-21 02:08:08.998  INFO 16260 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@660f0c
2020-01-21 02:08:11.756  WARN 16260 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-01-21 02:08:11.756  INFO 16260 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-01-21 02:08:11.985  INFO 16260 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-01-21 02:08:12.599  INFO 16260 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 20 endpoint(s) beneath base path '/actuator'
2020-01-21 02:08:12.705  INFO 16260 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2020-01-21 02:08:12.751  INFO 16260 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2020-01-21 02:08:13.365  INFO 16260 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2020-01-21 02:08:13.365  INFO 16260 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2020-01-21 02:08:13.511  INFO 16260 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2020-01-21 02:08:13.511  INFO 16260 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2020-01-21 02:08:13.733  INFO 16260 --- [main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-01-21 02:08:14.157  INFO 16260 --- [main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2020-01-21 02:08:14.157  INFO 16260 --- [main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2020-01-21 02:08:14.157  INFO 16260 --- [main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2020-01-21 02:08:14.157  INFO 16260 --- [main] com.netflix.discovery.DiscoveryClient    : Application is null : false
2020-01-21 02:08:14.158  INFO 16260 --- [main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2020-01-21 02:08:14.158  INFO 16260 --- [main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2020-01-21 02:08:14.158  INFO 16260 --- [main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2020-01-21 02:08:14.644  INFO 16260 --- [main] com.netflix.discovery.DiscoveryClient    : The response status is 200
2020-01-21 02:08:14.647  INFO 16260 --- [main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 5
2020-01-21 02:08:14.649  INFO 16260 --- [main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-01-21 02:08:14.653  INFO 16260 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1579543694652 with initial instances count: 0
2020-01-21 02:08:14.654  INFO 16260 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application microservicecloud-config with eureka with status UP
2020-01-21 02:08:14.655  INFO 16260 --- [main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1579543694655, current=UP, previous=STARTING]
2020-01-21 02:08:14.658  INFO 16260 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_MICROSERVICECLOUD-CONFIG/microservicecloud-config:3344: registering service...
2020-01-21 02:08:14.708  INFO 16260 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 3344 (http) with context path ''
2020-01-21 02:08:14.711  INFO 16260 --- [main] c.h.s.Config_3344_StartSpringCloudApp    : Started Config_3344_StartSpringCloudApp in 13.865 seconds (JVM running for 16.943)
2020-01-21 02:08:14.763  INFO 16260 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_MICROSERVICECLOUD-CONFIG/microservicecloud-config:3344 - registration status: 204
2020-01-21 02:08:17.079  INFO 16260 --- [RMI TCP Connection(8)-192.168.5.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-01-21 02:08:17.079  INFO 16260 --- [RMI TCP Connection(8)-192.168.5.1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2020-01-21 02:08:17.087  INFO 16260 --- [RMI TCP Connection(8)-192.168.5.1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 8 ms
2020-01-21 02:08:19.649  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2020-01-21 02:08:19.650  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2020-01-21 02:08:19.650  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2020-01-21 02:08:19.650  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application is null : false
